掲載フラグ	商品名	メーカー	商品コード	容量	入数	価格	特売フラグ	写真ファイル名
○	ちくわ	ギヒョウ	1102	3本入	1袋	98	○	chikuwa.jpg
○	さつま揚げ	アゲタ	2105	6枚入	1袋	98	○	dummy.jpg
○	しらたき	極秘フーズ	3100	8粒入	1パック	88		
○	こんにゃく	フルオヤ	2350	黒白250g×2	各1袋	98		konnyaku.jpg
○	肉だんご	カネダ	2360	300g	1袋	198		dummy.jpg
○	こしひかり	ヘルニヤ	5000	泥沼産10kg	1袋	3480	○	koshihikari.jpg
○	大三郎	中アル	8042	2.7リットル	1本	1280		daisaburou.jpg
○	とろけすぎカレー	インドヤ	4000	甘口200g	1箱	148	○	curry.jpg
	とろけすぎカレー	インドヤ	4001	中辛200g	1箱	148		dummy.jpg
	とろけすぎカレー	インドヤ	4002	辛口200g	1箱	148		dummy.jpg
○	もたれるシチュー	インドヤ	4010	ビーフ160g	2箱	148	○	shichu.jpg
○	根昆布つゆ	ヒマサ	3200	1リットル	1本	278	○	tsuyu.jpg
○	酢豚	メタボ社	95		各1袋	298		
	酢豚	ヒマンコーポ	96		10袋	2480	○	
